"Sequential_Number","Short_Code","Long_Code","DataPack_File","Census_Table","Datapacks_CSV","Topic_Name","Topic_Geopackage","Geopackage","Geopackage_Table","Geopackage_Field","Column_Is_Renamed_From_original"
"G5857","M_800_999_35_44_yrs","Males_800_999_Age_35_44_years","G17A","G17a","2016Census_G17A_WA_RA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_wa_short.gpkg","census2016_eiuwa_wa_ra_short","M_800_999_35_44_yrs","NO"
"G5857","M_800_999_35_44_yrs","Males_800_999_Age_35_44_years","G17A","G17a","2016Census_G17A_WA_SA1_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_wa_short.gpkg","census2016_eiuwa_wa_sa1_short","M_800_999_35_44_yrs","NO"
"G5857","M_800_999_35_44_yrs","Males_800_999_Age_35_44_years","G17A","G17a","2016Census_G17A_WA_SA2_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_wa_short.gpkg","census2016_eiuwa_wa_sa2_short","M_800_999_35_44_yrs","NO"
"G5857","M_800_999_35_44_yrs","Males_800_999_Age_35_44_years","G17A","G17a","2016Census_G17A_WA_SA3_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_wa_short.gpkg","census2016_eiuwa_wa_sa3_short","M_800_999_35_44_yrs","NO"
"G5857","M_800_999_35_44_yrs","Males_800_999_Age_35_44_years","G17A","G17a","2016Census_G17A_WA_SA4_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_wa_short.gpkg","census2016_eiuwa_wa_sa4_short","M_800_999_35_44_yrs","NO"
"G5857","M_800_999_35_44_yrs","Males_800_999_Age_35_44_years","G17A","G17a","2016Census_G17A_WA_SED_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_wa_short.gpkg","census2016_eiuwa_wa_sed_short","M_800_999_35_44_yrs","NO"
"G5857","M_800_999_35_44_yrs","Males_800_999_Age_35_44_years","G17A","G17a","2016Census_G17A_WA_SOSR_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_wa_short.gpkg","census2016_eiuwa_wa_sosr_short","M_800_999_35_44_yrs","NO"
"G5857","M_800_999_35_44_yrs","Males_800_999_Age_35_44_years","G17A","G17a","2016Census_G17A_WA_SOS_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_wa_short.gpkg","census2016_eiuwa_wa_sos_short","M_800_999_35_44_yrs","NO"
"G5857","M_800_999_35_44_yrs","Males_800_999_Age_35_44_years","G17A","G17a","2016Census_G17A_WA_SSC_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_wa_short.gpkg","census2016_eiuwa_wa_ssc_short","M_800_999_35_44_yrs","NO"
"G5857","M_800_999_35_44_yrs","Males_800_999_Age_35_44_years","G17A","G17a","2016Census_G17A_WA_STE_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_wa_short.gpkg","census2016_eiuwa_wa_ste_short","M_800_999_35_44_yrs","NO"
"G5857","M_800_999_35_44_yrs","Males_800_999_Age_35_44_years","G17A","G17a","2016Census_G17A_WA_SUA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_wa_short.gpkg","census2016_eiuwa_wa_sua_short","M_800_999_35_44_yrs","NO"
"G5857","M_800_999_35_44_yrs","Males_800_999_Age_35_44_years","G17A","G17a","2016Census_G17A_WA_UCL_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_wa_short.gpkg","census2016_eiuwa_wa_ucl_short","M_800_999_35_44_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_ACT_CED_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_act_short.gpkg","census2016_eiuwa_act_ced_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_ACT_GCCSA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_act_short.gpkg","census2016_eiuwa_act_gccsa_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_ACT_LGA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_act_short.gpkg","census2016_eiuwa_act_lga_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_ACT_POA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_act_short.gpkg","census2016_eiuwa_act_poa_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_ACT_RA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_act_short.gpkg","census2016_eiuwa_act_ra_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_ACT_SA1_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_act_short.gpkg","census2016_eiuwa_act_sa1_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_ACT_SA2_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_act_short.gpkg","census2016_eiuwa_act_sa2_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_ACT_SA3_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_act_short.gpkg","census2016_eiuwa_act_sa3_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_ACT_SA4_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_act_short.gpkg","census2016_eiuwa_act_sa4_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_ACT_SED_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_act_short.gpkg","census2016_eiuwa_act_sed_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_ACT_SOSR_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_act_short.gpkg","census2016_eiuwa_act_sosr_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_ACT_SOS_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_act_short.gpkg","census2016_eiuwa_act_sos_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_ACT_SSC_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_act_short.gpkg","census2016_eiuwa_act_ssc_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_ACT_STE_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_act_short.gpkg","census2016_eiuwa_act_ste_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_ACT_SUA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_act_short.gpkg","census2016_eiuwa_act_sua_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_ACT_UCL_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_act_short.gpkg","census2016_eiuwa_act_ucl_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_AUS_CED_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_aus_short.gpkg","census2016_eiuwa_aus_ced_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_AUS_GCCSA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_aus_short.gpkg","census2016_eiuwa_aus_gccsa_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_AUS_LGA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_aus_short.gpkg","census2016_eiuwa_aus_lga_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_AUS_POA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_aus_short.gpkg","census2016_eiuwa_aus_poa_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_AUS_RA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_aus_short.gpkg","census2016_eiuwa_aus_ra_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_AUS_SA1_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_aus_short.gpkg","census2016_eiuwa_aus_sa1_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_AUS_SA2_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_aus_short.gpkg","census2016_eiuwa_aus_sa2_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_AUS_SA3_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_aus_short.gpkg","census2016_eiuwa_aus_sa3_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_AUS_SA4_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_aus_short.gpkg","census2016_eiuwa_aus_sa4_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_AUS_SED_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_aus_short.gpkg","census2016_eiuwa_aus_sed_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_AUS_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_aus_short.gpkg","census2016_eiuwa_aus_aus_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_AUS_SOSR_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_aus_short.gpkg","census2016_eiuwa_aus_sosr_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_AUS_SOS_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_aus_short.gpkg","census2016_eiuwa_aus_sos_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_AUS_SSC_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_aus_short.gpkg","census2016_eiuwa_aus_ssc_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_AUS_STE_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_aus_short.gpkg","census2016_eiuwa_aus_ste_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_AUS_SUA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_aus_short.gpkg","census2016_eiuwa_aus_sua_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_AUS_UCL_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_aus_short.gpkg","census2016_eiuwa_aus_ucl_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NSW_CED_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nsw_short.gpkg","census2016_eiuwa_nsw_ced_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NSW_GCCSA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nsw_short.gpkg","census2016_eiuwa_nsw_gccsa_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NSW_LGA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nsw_short.gpkg","census2016_eiuwa_nsw_lga_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NSW_POA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nsw_short.gpkg","census2016_eiuwa_nsw_poa_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NSW_RA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nsw_short.gpkg","census2016_eiuwa_nsw_ra_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NSW_SA1_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nsw_short.gpkg","census2016_eiuwa_nsw_sa1_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NSW_SA2_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nsw_short.gpkg","census2016_eiuwa_nsw_sa2_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NSW_SA3_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nsw_short.gpkg","census2016_eiuwa_nsw_sa3_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NSW_SA4_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nsw_short.gpkg","census2016_eiuwa_nsw_sa4_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NSW_SED_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nsw_short.gpkg","census2016_eiuwa_nsw_sed_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NSW_SOSR_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nsw_short.gpkg","census2016_eiuwa_nsw_sosr_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NSW_SOS_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nsw_short.gpkg","census2016_eiuwa_nsw_sos_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NSW_SSC_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nsw_short.gpkg","census2016_eiuwa_nsw_ssc_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NSW_STE_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nsw_short.gpkg","census2016_eiuwa_nsw_ste_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NSW_SUA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nsw_short.gpkg","census2016_eiuwa_nsw_sua_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NSW_UCL_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nsw_short.gpkg","census2016_eiuwa_nsw_ucl_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NT_CED_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nt_short.gpkg","census2016_eiuwa_nt_ced_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NT_GCCSA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nt_short.gpkg","census2016_eiuwa_nt_gccsa_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NT_LGA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nt_short.gpkg","census2016_eiuwa_nt_lga_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NT_POA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nt_short.gpkg","census2016_eiuwa_nt_poa_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NT_RA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nt_short.gpkg","census2016_eiuwa_nt_ra_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NT_SA1_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nt_short.gpkg","census2016_eiuwa_nt_sa1_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NT_SA2_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nt_short.gpkg","census2016_eiuwa_nt_sa2_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NT_SA3_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nt_short.gpkg","census2016_eiuwa_nt_sa3_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NT_SA4_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nt_short.gpkg","census2016_eiuwa_nt_sa4_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NT_SED_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nt_short.gpkg","census2016_eiuwa_nt_sed_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NT_SOSR_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nt_short.gpkg","census2016_eiuwa_nt_sosr_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NT_SOS_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nt_short.gpkg","census2016_eiuwa_nt_sos_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NT_SSC_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nt_short.gpkg","census2016_eiuwa_nt_ssc_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NT_STE_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nt_short.gpkg","census2016_eiuwa_nt_ste_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NT_SUA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nt_short.gpkg","census2016_eiuwa_nt_sua_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_NT_UCL_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_nt_short.gpkg","census2016_eiuwa_nt_ucl_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_OT_CED_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_ot_short.gpkg","census2016_eiuwa_ot_ced_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_OT_GCCSA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_ot_short.gpkg","census2016_eiuwa_ot_gccsa_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_OT_LGA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_ot_short.gpkg","census2016_eiuwa_ot_lga_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_OT_POA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_ot_short.gpkg","census2016_eiuwa_ot_poa_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_OT_RA_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_ot_short.gpkg","census2016_eiuwa_ot_ra_short","M_800_999_45_54_yrs","NO"
"G5858","M_800_999_45_54_yrs","Males_800_999_Age_45_54_years","G17A","G17a","2016Census_G17A_OT_SA1_short.csv","Employment, Income and Unpaid Work","EIUWA","census2016_eiuwa_ot_short.gpkg","census2016_eiuwa_ot_sa1_short","M_800_999_45_54_yrs","NO"
