UCL_CODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
UCL212005,9,17,17,14,14,7,0,78,0,8,9,6,5,0,0,31,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,29,25,22,27,7,0,110,0,3,3,3,5,0,0,12,0,3,0,0,0,0,0,3,0,3,3,3,5,0,0,18,9,28,29,25,30,7,0,124,7,10,11,4,4,3,0,43,3,3,0,0,0,0,0,8,17,38,40,32,30,12,0,174,18,33,38,28,87,24,5,229,66,143,105,71,95,29,7,515,12,7,9,4,10,0,0,37,0,9,0,0,0,0,0,14,94,189,142,101,199,50,11,794,4,8,3,5,0,3,0,16,3,18,10,6,7,4,0,49,6,25,17,12,7,4,0,67,100,211,160,117,205,59,11,859,183,150,57,38,42,12,3,480,3,4,3,0,4,0,0,19,289,366,213,150,251,67,16,1357,21,54,55,47,97,33,8,308
UCL213001,8,10,11,7,9,6,0,55,4,6,3,3,3,0,0,19,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,16,14,11,17,6,0,73,0,3,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,9,8,15,16,15,16,5,0,84,4,8,4,6,7,4,0,33,0,3,0,0,0,0,0,3,12,27,22,16,21,10,0,119,16,44,40,14,36,20,7,176,35,70,37,42,47,18,6,253,4,0,0,4,3,0,0,11,0,3,3,3,0,0,0,7,53,122,83,65,87,31,19,452,3,13,5,0,3,3,0,28,3,13,8,10,0,0,0,34,3,21,18,10,4,3,0,62,55,141,101,72,90,39,19,514,124,99,45,21,29,6,8,327,0,3,0,0,3,0,0,12,178,239,145,92,122,45,25,847,18,50,49,28,50,21,8,230
UCL213002,0,8,11,3,5,0,0,28,3,3,4,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,10,5,14,0,0,50,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,20,10,5,18,0,0,57,4,3,0,5,4,0,0,18,0,0,0,0,0,0,0,0,8,25,12,14,17,0,0,78,4,21,12,16,28,9,0,96,26,48,35,20,38,5,3,186,0,3,8,4,3,0,0,22,0,3,0,0,0,0,0,8,32,83,54,39,75,17,3,308,3,3,0,0,0,0,0,11,9,12,7,8,3,0,0,36,8,19,6,8,4,0,0,49,43,99,65,45,77,19,3,353,104,86,37,25,41,3,0,308,3,0,0,0,0,0,0,6,158,189,102,76,119,24,3,662,4,36,25,17,38,9,0,128
UCL213003,0,3,8,3,6,0,0,19,4,7,3,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,5,3,9,0,0,41,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,3,14,8,4,14,0,0,41,4,5,3,3,0,0,0,20,0,0,0,0,0,0,0,0,10,14,13,7,13,3,0,65,12,18,15,9,19,0,0,73,33,30,39,19,42,5,0,179,0,0,3,0,0,0,0,11,0,0,3,0,0,0,0,5,51,54,62,33,63,8,0,267,0,5,3,0,3,3,0,11,3,0,3,0,3,0,0,10,3,6,4,0,3,3,0,20,50,57,70,32,69,16,0,291,99,76,29,29,19,4,0,263,0,0,0,0,0,0,0,0,154,135,100,61,85,18,0,547,9,19,18,16,30,5,0,97
UCL213004,4,0,5,6,8,0,0,33,3,0,3,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,8,10,14,3,0,46,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,8,10,15,3,0,46,3,6,4,0,3,0,0,14,0,0,0,0,0,0,0,0,8,7,9,15,16,3,0,60,8,15,10,9,33,8,0,78,24,52,35,22,31,5,3,165,4,0,0,0,3,0,0,13,3,0,0,0,4,0,0,6,33,71,42,34,66,14,4,267,0,4,3,0,3,0,0,15,3,6,0,3,3,0,0,19,3,15,3,4,7,3,0,31,35,80,50,41,66,18,4,298,73,79,34,19,27,8,0,244,0,0,0,0,0,0,0,0,108,163,82,55,98,28,4,544,8,21,15,15,41,8,0,110
UCL213005,3,3,3,6,3,3,0,28,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,5,8,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,8,6,8,3,0,36,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,6,8,14,6,4,3,0,41,11,17,19,19,25,12,3,114,22,60,35,22,39,13,4,198,3,0,0,0,3,0,0,8,0,3,3,0,3,0,0,9,34,85,56,45,69,24,13,334,0,3,0,0,5,0,0,16,0,3,5,3,3,3,0,16,0,3,5,3,5,7,0,33,34,90,62,47,79,34,11,363,70,54,24,24,21,10,0,198,0,0,3,0,0,0,0,4,107,143,88,75,100,39,14,569,14,21,28,30,32,18,3,136
UCL213006,7,7,8,6,10,0,0,31,0,0,3,3,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,10,11,13,0,0,45,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,9,9,14,11,13,0,0,54,3,11,3,4,5,0,0,23,3,0,0,0,0,0,0,3,13,20,13,13,15,0,0,75,7,17,21,21,27,11,0,109,36,45,44,22,34,7,3,203,3,3,0,0,0,0,0,13,0,0,0,0,0,0,0,6,51,68,70,42,67,18,3,324,0,0,3,0,3,0,0,8,5,10,3,3,5,0,0,22,5,10,4,3,5,0,0,26,52,83,75,49,71,18,3,352,81,64,36,13,18,4,0,225,4,4,0,0,0,0,0,4,142,148,115,63,86,25,3,579,12,26,24,21,34,11,0,141
UCL213007,3,8,12,8,12,3,0,48,0,8,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,15,8,12,3,0,64,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,3,0,0,6,7,22,16,9,10,3,0,67,8,8,3,3,3,3,0,28,3,0,0,0,0,0,0,3,16,31,17,11,16,3,0,95,7,18,11,11,28,8,0,86,26,77,40,31,36,16,0,227,0,3,0,0,0,3,0,6,0,0,4,0,0,0,0,8,39,90,58,46,73,26,3,326,0,7,3,0,0,3,0,15,8,16,9,9,3,0,0,38,10,18,8,7,4,3,0,55,42,114,66,54,80,24,3,380,129,107,44,24,25,0,0,331,0,0,0,0,0,0,0,3,171,218,104,76,105,31,4,712,10,27,20,25,38,8,0,134
UCL213008,5,6,3,9,16,3,0,49,0,8,4,3,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,17,3,15,22,0,0,61,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,18,10,15,22,0,0,69,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,21,7,15,26,0,0,70,10,32,24,21,40,10,3,136,42,54,35,28,49,4,3,222,3,0,0,0,3,0,0,13,0,0,0,0,0,0,0,8,54,83,66,52,90,16,7,370,0,3,0,0,0,0,0,3,0,3,5,4,3,3,0,21,0,3,3,4,3,3,0,22,56,87,71,59,97,22,7,397,53,53,29,8,20,0,3,166,0,0,0,0,0,0,0,3,110,144,93,72,115,20,13,562,13,38,27,31,56,8,6,177
UCL213009,0,9,6,3,13,4,0,32,0,6,4,3,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,7,7,10,4,0,48,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,13,7,7,10,4,0,50,3,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,4,15,13,7,16,4,0,58,7,14,26,17,35,18,6,119,40,64,48,27,35,9,0,223,6,3,4,0,3,0,0,20,0,0,0,0,0,0,0,0,51,83,75,41,77,28,4,360,0,4,3,3,0,0,0,14,11,15,7,0,0,0,0,29,11,21,11,4,0,0,0,41,60,99,83,45,75,28,7,406,51,44,17,12,22,9,3,159,0,0,0,0,0,0,0,3,113,144,103,61,101,36,14,568,11,21,31,17,44,18,6,151
UCL213010,0,11,3,0,15,5,4,40,3,10,4,4,3,0,0,23,0,3,0,0,0,0,0,5,0,0,3,0,0,0,0,3,7,23,12,3,22,4,4,72,5,5,5,4,4,0,0,25,0,0,0,0,0,0,0,3,5,5,7,4,4,0,0,25,11,29,17,8,24,5,5,100,5,19,11,9,5,0,0,50,0,0,0,0,0,0,0,3,15,41,33,18,28,5,5,152,5,19,12,17,21,7,0,85,35,63,36,39,43,5,3,226,4,3,0,0,0,0,0,10,3,0,0,0,0,0,0,9,49,89,52,57,65,18,3,326,4,15,10,3,13,0,0,47,5,21,13,6,9,0,0,51,11,38,20,6,17,3,0,97,56,123,80,64,86,15,3,427,163,119,53,42,48,9,0,435,0,7,3,4,0,0,0,14,225,245,136,112,133,28,3,883,11,27,19,13,39,13,4,123
UCL213011,5,4,8,4,4,3,0,28,0,4,4,3,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,6,13,6,3,0,44,5,4,0,4,5,0,0,19,0,3,0,0,0,0,0,4,3,9,0,4,5,0,0,24,11,15,7,19,14,3,0,71,20,11,5,3,10,0,0,52,0,0,0,0,0,0,0,0,23,32,19,24,24,6,0,120,11,17,18,15,27,5,3,94,27,43,31,26,37,3,4,175,0,8,0,3,0,0,0,9,3,0,3,0,0,0,0,7,42,67,54,41,67,6,3,282,3,11,11,7,3,4,0,38,14,26,26,6,10,3,0,85,13,44,33,13,15,11,0,121,57,114,87,50,81,16,3,406,196,136,70,44,29,7,0,486,8,3,3,0,0,0,0,11,257,253,157,100,105,29,3,905,14,21,23,23,29,7,3,120
UCL213012,0,11,10,3,9,3,7,40,0,0,7,0,4,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,7,12,8,8,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,6,0,14,21,7,10,8,8,64,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,3,14,16,10,12,8,5,71,6,24,26,16,27,15,3,117,27,93,50,40,46,16,6,277,0,0,0,0,3,3,0,9,0,3,0,0,0,0,0,4,36,118,80,60,74,32,5,408,0,9,3,0,0,4,0,13,3,9,9,0,3,0,0,28,9,15,13,5,3,4,0,38,46,136,88,63,80,34,5,448,51,48,18,17,20,3,3,157,0,0,0,0,0,0,0,0,94,177,109,76,100,33,12,604,6,33,40,22,34,19,10,157
UCL213013,0,5,5,9,8,0,0,32,0,0,3,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,5,20,0,0,50,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,8,0,3,3,4,3,0,0,13,4,6,12,14,17,0,0,56,3,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,9,13,12,17,0,0,66,5,16,18,10,21,6,4,73,18,20,18,18,32,12,0,120,3,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,24,41,40,27,53,14,4,202,0,3,0,0,0,0,0,8,0,12,9,0,3,0,0,25,0,13,5,3,6,0,0,37,26,61,45,34,53,16,4,237,76,55,26,17,16,3,0,193,0,0,0,0,0,0,0,0,104,113,71,52,71,15,3,435,9,20,25,16,26,10,4,109
UCL213014,0,3,3,6,15,0,0,29,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,12,3,0,38,0,0,4,0,0,0,0,8,0,0,0,0,3,0,0,3,0,0,4,0,3,0,0,7,3,0,9,6,17,3,0,42,0,0,4,9,3,3,0,17,0,4,0,0,0,0,0,4,5,4,14,13,23,5,0,67,17,24,20,23,33,10,0,128,38,58,27,24,45,12,0,197,3,3,8,0,0,0,0,11,0,0,0,0,0,0,0,9,57,94,54,44,71,19,0,345,3,3,7,3,7,0,0,16,7,15,7,0,0,0,0,26,8,18,6,4,7,0,0,42,64,111,61,49,81,19,0,389,77,81,31,25,29,10,0,250,0,0,0,0,0,0,0,4,142,192,95,78,110,31,0,638,16,27,26,25,40,13,0,156
UCL213015,0,6,11,5,8,0,0,25,3,9,3,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,7,8,7,4,0,49,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,9,14,9,13,4,0,55,3,10,3,3,0,0,0,23,0,0,0,0,0,0,0,0,11,23,16,13,16,4,0,76,13,19,15,13,30,6,3,97,32,51,28,19,25,3,0,153,3,0,0,0,0,0,0,4,3,3,0,0,0,0,0,8,45,66,46,34,55,13,3,263,3,3,0,0,3,0,0,11,6,9,0,0,3,0,0,21,5,10,3,3,4,0,0,33,55,80,48,39,58,13,3,292,67,43,31,28,14,3,0,186,0,0,0,0,0,0,0,7,120,128,75,62,76,21,3,481,11,18,25,18,34,13,3,130
UCL213016,0,13,10,5,6,3,0,38,5,3,3,0,3,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,8,14,10,4,11,3,4,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,8,14,13,8,14,3,4,54,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,19,9,8,11,3,4,65,9,31,18,19,34,14,6,139,28,56,45,33,32,7,4,210,3,3,3,3,0,0,0,11,0,0,0,0,0,0,0,0,40,95,70,52,74,28,7,357,0,4,3,4,0,0,0,12,0,3,3,3,3,0,0,18,0,7,12,6,3,0,0,28,42,100,74,57,75,27,9,387,11,16,14,5,13,3,0,68,0,0,3,0,0,0,0,6,51,121,99,65,89,31,9,457,9,44,22,26,46,18,9,172
UCL213017,3,5,4,8,9,3,0,36,4,3,4,4,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,14,9,15,14,3,0,61,0,0,3,0,3,0,0,12,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,14,9,9,13,14,13,3,0,69,4,8,6,6,5,0,0,31,0,0,0,0,0,0,0,0,18,24,22,20,20,8,0,104,7,32,32,28,35,10,3,135,38,91,37,42,56,15,4,278,8,15,4,0,4,0,0,26,0,0,0,3,0,0,0,3,53,136,72,71,88,25,7,446,3,12,5,0,4,0,0,23,7,20,12,3,3,0,0,40,9,34,18,8,3,0,0,70,62,164,86,79,97,26,7,520,111,91,61,36,44,6,3,355,9,4,6,3,0,0,0,16,181,262,152,115,141,34,8,891,12,37,33,33,43,14,3,176
UCL213018,0,6,7,8,14,3,0,47,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,13,14,11,3,0,56,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,13,14,17,3,0,55,3,11,4,0,3,5,0,25,0,0,0,0,0,0,0,0,5,20,18,9,21,4,0,83,7,22,20,16,36,21,3,125,22,64,43,28,45,10,3,215,5,4,0,3,0,0,0,11,0,0,0,0,0,0,0,0,30,89,69,48,77,29,10,349,0,3,0,3,0,0,0,13,8,5,0,3,3,0,0,21,10,13,3,4,3,0,0,31,42,102,68,49,80,33,10,386,84,70,39,19,33,15,3,259,0,0,0,0,0,0,0,3,119,172,112,66,116,50,12,643,7,25,33,30,45,27,9,173
UCL214001,0,5,3,9,8,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,9,8,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,9,8,0,0,30,3,6,3,0,0,0,0,14,0,0,0,0,0,0,0,0,11,15,9,10,8,0,0,50,4,22,9,10,9,4,0,61,9,30,23,9,15,3,0,92,7,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,15,49,35,22,31,9,0,167,0,0,0,0,0,0,0,7,0,10,0,0,0,0,0,14,3,10,4,3,3,0,0,21,22,62,39,26,30,9,3,186,47,36,13,17,9,5,0,124,0,0,0,0,0,0,0,0,65,94,51,39,48,10,3,306,3,28,14,18,25,4,0,88
UCL214002,0,3,6,7,11,0,0,28,0,0,3,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,9,13,15,0,0,39,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,13,11,14,0,0,49,0,7,4,3,3,0,0,22,0,0,0,0,0,0,0,0,0,11,21,14,22,3,0,67,4,18,17,20,17,4,0,77,25,36,30,17,35,4,0,142,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,30,53,45,39,53,7,0,229,0,8,0,0,0,0,0,7,5,8,5,0,0,0,0,20,8,14,5,0,0,0,0,34,37,69,51,39,52,7,0,257,91,75,20,26,24,8,0,252,0,0,0,0,0,0,0,0,127,153,73,61,76,18,0,513,6,19,22,28,28,3,0,107
UCL214003,0,0,3,4,11,7,0,35,3,3,3,3,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,8,12,8,0,45,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,6,3,7,12,8,15,8,0,53,0,4,4,4,4,3,0,15,0,0,0,0,0,0,0,0,4,11,9,15,20,9,0,71,0,12,14,12,17,8,0,65,15,51,34,19,29,8,4,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,60,50,33,44,14,6,219,0,0,3,0,0,0,0,3,0,7,3,0,3,4,0,16,0,9,10,0,3,4,0,18,19,66,58,33,53,16,6,239,53,46,19,10,12,8,0,142,0,0,0,0,0,0,0,0,70,113,74,42,63,20,4,388,0,17,13,18,30,15,0,99
UCL214004,0,6,3,4,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,4,0,0,31,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,0,8,9,4,7,0,0,32,0,3,3,0,3,0,0,8,0,0,0,0,0,0,0,3,0,13,9,4,12,0,0,42,5,8,9,7,19,3,0,49,16,22,13,12,11,0,0,70,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,4,20,32,26,16,31,3,0,126,0,0,0,0,3,0,0,10,0,3,0,0,0,0,0,4,4,5,3,0,4,0,0,16,22,29,31,19,34,3,0,147,30,25,26,15,10,6,0,109,0,3,0,3,3,0,0,10,55,64,52,35,47,11,3,263,5,18,11,13,23,3,0,73
UCL214005,0,0,3,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,7,0,0,3,0,4,0,0,6,0,7,3,5,14,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,14,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,18,0,0,33,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,12,10,3,18,0,0,43,0,0,3,0,9,0,0,15
UCL214006,0,3,4,9,12,4,3,35,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,12,5,5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,12,5,5,38,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,6,5,14,10,6,5,49,7,9,9,13,29,11,4,82,23,38,29,25,33,10,3,162,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,31,49,40,36,61,26,10,248,0,3,3,3,4,0,0,11,0,0,0,0,0,0,0,3,0,3,4,0,3,3,0,17,31,52,44,41,65,30,10,267,7,18,12,5,9,7,4,57,0,0,0,0,0,0,0,0,40,67,52,42,73,33,9,322,11,8,17,15,36,12,5,111
