UCL_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
UCL221049,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,3,0,0,17
UCL221050,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,9,4,0,4,0,0,0,7,23,0,5,0,0,0,32,24,0,0,0,0,0,26,13,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,21,0,3,0,93
UCL221051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
UCL221052,0,0,0,3,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,3,0,4,0,14,4,0,9,0,0,0,13,6,0,3,0,0,0,12,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,20,5,6,0,60
UCL221053,0,0,0,0,0,3,7,0,0,0,0,0,0,0,13,0,5,0,0,0,22,16,0,6,3,0,0,21,3,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,3,18,3,3,3,63
UCL221054,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,8,12,0,3,0,0,0,10,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,13,0,4,0,37
UCL221055,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,11,3,0,0,0,0,0,3,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,10,0,0,0,34
UCL221056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,0,0,0,3,6,0,0,0,0,0,11,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,9,0,0,0,25
UCL221057,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,6,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,9,4,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,18,0,0,0,35
UCL221058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,6,0,0,0,0,0,11,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4,0,0,0,21
UCL221059,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,12,0,0,8,0,0,0,9,4,0,0,0,0,0,7,7,0,3,0,0,0,13,11,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,21,0,4,3,51
UCL221060,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,0,0,6,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,0,0,28
UCL221061,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,9,0,8,0,0,0,0,35,0,37,0,0,3,0,15,0,23,7,0,8,0,0,0,17,12,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,24,0,25,0,65,0,110
UCL221062,0,0,0,0,0,0,5,0,0,3,0,0,0,3,0,6,8,0,12,0,18,17,0,17,0,0,0,30,10,0,5,0,0,0,17,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,6,29,0,12,3,86
UCL221063,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,10,3,3,0,23,0,0,7,0,0,0,13,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,3,7,0,42
UCL221064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,11,0,6,0,0,0,20
UCL221065,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,15
UCL221066,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,0,4,0,0,0,8,3,0,5,0,0,0,12,0,0,6,0,0,0,3,12,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,15,0,23,0,0,3,45
UCL221067,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,5,0,4,0,0,0,8,22,0,0,0,0,0,21,12,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42,0,23,0,0,0,68
UCL221068,0,0,0,0,0,3,8,0,0,0,0,0,0,0,8,5,3,0,0,0,13,11,0,14,0,0,0,23,6,0,0,0,0,0,11,11,0,7,0,0,0,17,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,6,28,0,3,7,83
UCL221069,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,7,0,3,0,0,0,9,3,0,3,0,0,0,8,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,3,0,0,30
UCL221070,0,0,0,0,0,4,10,0,0,3,0,0,0,4,3,3,3,0,0,0,8,3,0,3,0,0,0,8,10,0,9,0,0,0,11,15,0,3,0,0,0,18,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,18,0,3,7,70
UCL221071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3
UCL221072,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,3,3,0,3,0,0,0,8,13,0,4,0,0,0,18,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,23,0,0,3,48
UCL221073,0,0,4,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,11,0,4,0,0,0,8,8,0,3,0,0,0,11,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,18,0,0,5,44
UCL221074,0,0,7,0,0,3,5,0,0,0,0,0,0,0,0,0,4,0,0,0,9,4,0,7,0,0,0,8,6,0,5,0,0,0,15,14,0,7,0,0,0,22,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,24,0,0,3,64
UCL221075,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,0,0,6,3,0,9,0,3,0,11,3,0,6,0,0,0,10,18,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,5,24,9,22,0,3,0,60
UCL221076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,4,3,0,0,0,0,0,5,7,0,4,0,0,0,9,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,16,0,0,0,28
UCL221077,0,0,0,0,0,0,0,0,9,3,0,0,0,17,7,0,3,0,0,0,7,16,0,3,0,0,0,13,4,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,13,0,3,0,45
UCL221078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,4,0,0,0,5,19,0,8,0,0,0,33,4,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,16,0,7,0,57
UCL221079,0,0,3,0,0,0,4,0,4,0,0,0,0,9,0,24,0,0,0,0,27,0,0,3,3,0,0,12,0,0,0,0,0,0,5,13,0,4,4,0,0,15,10,0,0,0,0,0,10,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,30,37,17,5,0,0,89
UCL221080,0,5,7,0,0,0,17,0,0,0,0,0,0,0,5,0,10,0,4,0,16,3,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,6,23,0,8,0,48
UCL221081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,17,0,0,4,3,0,0,6,3,0,5,0,0,0,6,7,0,4,0,0,0,16,13,0,8,0,0,0,18,9,0,8,0,0,0,16,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,0,41,15,0,0,88
UCL221082,0,0,0,0,0,0,3,0,0,0,3,0,0,4,3,0,0,0,0,0,3,0,0,5,0,0,0,10,0,0,4,0,0,0,7,6,0,3,0,0,0,14,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,22,0,0,0,44
UCL222001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL222002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,10
UCL222003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,12
UCL222004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL222005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,12
UCL222006,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,3,0,3,0,0,0,6,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,0,0,22
UCL222007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,11
UCL222008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,20
UCL222009,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,4,0,3,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,0,4,0,22
UCL222010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6
UCL222011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7
UCL222012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,3,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,4,0,13
UCL222013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,12
UCL222014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4
UCL222015,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,5,5,0,0,0,0,0,5,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,15,0,3,0,36
UCL222016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4
UCL222017,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,9,0,3,0,0,0,9,9,0,5,0,0,0,17,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,27,3,20,0,0,3,49
